beta1	beta2	A
-316.228	10.000	1.065082
-100.000	10.000	3.766318
-31.623	10.000	3.767692
-10.000	10.000	3.771686
-3.162	10.000	3.781162
-1.000	10.000	3.785492
0.000	10.000	100.164375
1.000	10.000	102.017940
3.162	10.000	105.966655
10.000	10.000	101.900983
31.623	10.000	134.989639
100.000	10.000	317.534758
316.228	10.000	125.136001
