beta1	beta2	A
-316.228	10.000	101.018326
-100.000	10.000	100.351868
-31.623	10.000	101.400398
-10.000	10.000	nan
-3.162	10.000	0.000000
-1.000	10.000	100.014001
0.000	10.000	100.164375
1.000	10.000	100.148527
3.162	10.000	100.545236
10.000	10.000	100.066024
31.623	10.000	100.179929
100.000	10.000	101.138807
316.228	10.000	100.601644
