beta1	beta2	A
-316.228	10.000	0.000000
-100.000	10.000	0.000000
-31.623	10.000	0.000000
-10.000	10.000	0.000000
-3.162	10.000	0.000000
-1.000	10.000	0.000000
0.000	10.000	100.164375
1.000	10.000	100.526596
3.162	10.000	100.246158
10.000	10.000	100.381182
31.623	10.000	100.532361
100.000	10.000	101.493898
316.228	10.000	103.205112
